user_id,global_TPR,global_FPR,personal_TPR,personal_FPR,delta_TPR,delta_FPR,a_i,b_i,tau_i
0,1.0,0.0,1.0,0.0,0.0,0.0,1.0173075926923902,-0.36114455967189835,0.54
1,1.0,0.0,1.0,0.16666666666666666,0.0,0.16666666666666666,0.9748670322592516,-0.455038024302405,0.43
2,1.0,0.0,1.0,0.16666666666666666,0.0,0.16666666666666666,1.0358361823748325,-0.35395125904439473,0.42
3,1.0,0.0,1.0,0.0,0.0,0.0,0.9571690086681944,-0.45922317911727256,0.5700000000000001
4,1.0,0.0,1.0,0.0,0.0,0.0,1.004165555963908,-0.3647218199928811,0.52
5,1.0,0.0,0.8,0.0,-0.19999999999999996,0.0,0.9507958523449441,-0.46129908283551774,0.54
6,1.0,0.0,1.0,0.0,0.0,0.0,0.9922367070562301,-0.44702331794690847,0.42
7,1.0,0.0,1.0,0.0,0.0,0.0,1.0331788096814765,-0.3119262497617606,0.55
