user_id,global_TPR,global_FPR,personal_TPR,personal_FPR,delta_TPR,delta_FPR,a_i,b_i,tau_i
0,1.0,0.0,1.0,0.0,0.0,0.0,1.0356444146156196,-0.35523715180981724,0.45
1,1.0,0.0,1.0,0.0,0.0,0.0,0.9999999756496486,-0.44333565708160266,0.4
2,0.8,0.0,1.0,0.0,0.19999999999999996,0.0,1.038498634731394,-0.35050176671339656,0.42
3,0.9,0.0,1.0,0.0,0.09999999999999998,0.0,0.989556286192588,-0.4477599779292063,0.47000000000000003
4,1.0,0.0,1.0,0.0,0.0,0.0,1.0109433262854157,-0.3298353993138362,0.42
5,0.8,0.0,1.0,0.0,0.19999999999999996,0.0,0.9799187236939341,-0.45184593511369714,0.47000000000000003
6,1.0,0.0,1.0,0.0,0.0,0.0,0.9999938661240539,-0.44333866326532334,0.4
7,0.8,0.0,1.0,0.0,0.19999999999999996,0.0,1.041445551387217,-0.30168215649429075,0.48
