user_id,global_TPR,global_FPR,global_FNR,global_ROC_AUC,global_PR_AUC,personalized_TPR,personalized_FPR,personalized_FNR,threshold,val_target_achieved_FPR,val_target_achieved_TPR,delta_TPR,delta_FPR,improved
0,1.0,1.0,0.0,0.28571428571428575,0.2777777777777778,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
1,1.0,1.0,0.0,0.9523809523809524,0.9166666666666665,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
2,1.0,1.0,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
3,1.0,1.0,0.0,0.5,0.375,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
4,1.0,1.0,0.0,0.4285714285714286,0.26785714285714285,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
5,1.0,1.0,0.0,0.6428571428571429,0.41666666666666663,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
6,1.0,1.0,0.0,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
7,1.0,1.0,0.0,0.5714285714285714,0.325,0.0,0.0,1.0,0.52,0.0,0.0,-1.0,-1.0,0
