user_id,global_TPR,global_FPR,global_FNR,global_ROC_AUC,global_PR_AUC,personalized_TPR,personalized_FPR,personalized_FNR,threshold,val_target_achieved_FPR,val_target_achieved_TPR,delta_TPR,delta_FPR,improved
0,0.7718832891246684,0.03200883002207505,0.22811671087533156,0.9578788038482032,0.8992389433728144,0.7957559681697612,0.046357615894039736,0.20424403183023873,0.52,0.04690949227373068,0.8488063660477454,0.023872679045092826,0.014348785871964684,0
1,0.7877984084880637,0.02869757174392936,0.21220159151193635,0.962750540165475,0.9083194489315266,0.8116710875331565,0.04083885209713024,0.1883289124668435,0.52,0.04966887417218543,0.8594164456233422,0.023872679045092826,0.012141280353200883,0
2,0.8222811671087533,0.0336644591611479,0.17771883289124668,0.9612749661847629,0.9136731283296006,0.8488063660477454,0.04304635761589404,0.15119363395225463,0.52,0.045805739514348784,0.8381962864721485,0.02652519893899208,0.009381898454746136,0
3,0.8143236074270557,0.03090507726269316,0.1856763925729443,0.959549071618037,0.9076416351203063,0.8594164456233422,0.05132450331125828,0.14058355437665782,0.51,0.04359823399558499,0.8249336870026526,0.04509283819628651,0.020419426048565118,0
4,0.8222811671087533,0.032560706401766004,0.17771883289124668,0.9619834759135971,0.9129971314369251,0.8673740053050398,0.06181015452538632,0.13262599469496023,0.51,0.04690949227373068,0.8647214854111406,0.04509283819628651,0.029249448123620313,0
5,0.8222811671087533,0.03642384105960265,0.17771883289124668,0.9629379146392162,0.9158479295569204,0.8594164456233422,0.052980132450331126,0.14058355437665782,0.51,0.04746136865342163,0.8196286472148541,0.037135278514588865,0.016556291390728478,0
6,0.7931034482758621,0.02924944812362031,0.20689655172413793,0.9556068883540909,0.9029387963687511,0.8328912466843501,0.05077262693156733,0.16710875331564987,0.51,0.04966887417218543,0.8620689655172413,0.039787798408488007,0.021523178807947022,0
7,0.8090185676392573,0.02759381898454746,0.1909814323607427,0.9686001370175841,0.9226172906465926,0.8647214854111406,0.05022075055187638,0.13527851458885942,0.51,0.04911699779249448,0.8541114058355438,0.0557029177718833,0.02262693156732892,0
8,0.8090185676392573,0.02869757174392936,0.1909814323607427,0.9611402907817614,0.9123157532607792,0.8328912466843501,0.039183222958057394,0.16710875331564987,0.52,0.04359823399558499,0.843501326259947,0.023872679045092826,0.010485651214128033,0
9,0.8355437665782494,0.023730684326710817,0.16445623342175067,0.9676427705658124,0.9298429172076657,0.8567639257294429,0.03532008830022075,0.14323607427055704,0.52,0.04359823399558499,0.8355437665782494,0.021220159151193574,0.011589403973509934,0
